object_counts,physics_update_elapsed_time,render_elapsed_time
11740,4319,158
11750,3467,250
11760,3984,264
11770,4486,238
11780,4474,266
11790,3858,196
11800,3477,199
11810,3752,218
11820,4052,229
11830,4533,248
11840,4130,245
11850,4178,267
11860,4130,164
11870,4580,234
11880,4207,270
11890,4577,256
11900,4566,245
11910,4464,200
11920,3507,233
11930,4192,160
11940,4029,216
11950,4784,220
11960,4646,252
11970,4453,269
11980,4897,262
11990,4654,260
12000,4603,236
12010,4473,263
12020,4679,243
12030,4454,263
12040,4602,303
12050,4364,256
12060,4336,235
12070,4333,253
12080,3936,239
12090,4774,268
12100,4721,245
12110,4630,258
12120,4547,267
12130,4355,264
12140,4781,248
12150,4311,272
12160,4880,256
12170,4317,227
12180,5015,260
12190,4683,282
12200,4845,289
12210,4752,257
12220,4311,237
12230,4333,250
12240,4147,228
12250,4046,281
12260,4092,217
12270,4219,225
12280,4107,248
12290,4164,246
12300,4425,211
12310,4379,253
12320,4454,179
12330,4581,268
12340,4901,263
12350,4745,207
12360,4717,266
12370,3657,161
12380,4137,227
12390,4012,215
12400,4049,238
12410,4569,265
12420,4098,235
12430,4442,261
12440,4240,278
12450,4545,243
12460,4499,257
12470,4352,228
12480,4418,247
12490,3684,221
12500,4624,230
12510,4308,204
12520,3672,218
12530,4108,244
12540,4883,229
12550,4857,302
12560,4352,234
12570,4841,286
12580,4742,229
12590,4241,237
12600,4765,266
12610,4254,236
12620,4615,285
12630,3753,244
12640,4939,273
12650,3899,258
12660,4725,262
12670,4494,253
12680,4732,256
12690,4477,256
12700,5060,272
12710,4676,278
12720,4035,226
12730,4434,265
12740,4845,314
12750,5038,270
12760,4439,249
12770,4312,228
12780,4852,264
12790,4833,273
12800,5108,283
12810,4916,272
12820,3820,229
12830,4573,253
12840,4564,285
12850,3781,240
12860,4777,257
12870,5131,248
12880,4987,251
12890,5044,254
12900,4979,268
12910,3829,224
12920,4131,260
12930,5111,241
12940,3853,238
12950,4416,166
12960,5017,237
12970,5073,261
12980,4516,240
12990,4994,277
13000,4401,265
13010,4384,288
13020,4149,236
13030,4981,226
13040,3969,244
13050,4719,258
13060,4510,256
13070,4644,293
13080,4101,201
13090,4655,261
13100,5195,288
13110,5159,248
13120,4631,501
13130,4671,252
13140,5124,274
13150,4922,287
13160,5017,297
13170,4011,263
13180,4358,436
13190,4541,268
13200,4865,261
13210,5007,267
13220,4324,227
13230,5069,277
13240,4122,264
13250,4697,257
13260,4145,248
13270,4236,254
13280,5297,292
13290,4939,286
13300,4635,275
13310,4267,251
13320,5205,263
13330,5337,268
13340,4487,257
13350,4682,256
13360,4970,294
13370,5255,232
13380,4753,200
13390,4530,219
13400,4577,164
13410,4708,277
13420,5300,301
13430,4034,282
13440,5108,242
13450,4393,278
13460,4562,222
13470,4873,278
13480,4800,194
13490,4694,279
13500,4744,285
13510,4270,222
13520,4838,268
13530,5127,265
13540,4572,249
13550,5171,275
13560,4621,247
13570,4791,297
13580,5344,271
13590,4655,261
13600,4610,247
13610,4871,306
13620,4293,286
13630,4886,294
13640,4933,310
13650,4460,240
13660,5186,253
