object_counts,physics_update_elapsed_time,render_elapsed_time
15680,14475,410
15690,14642,431
15700,14554,436
15710,14404,427
15720,14447,423
15730,14558,429
15740,14367,417
15750,14415,404
15760,14438,425
15770,14571,423
15780,14493,445
15790,14399,408
15800,14556,418
15810,14522,411
15820,14576,427
15830,14740,422
15840,14695,424
15850,14625,426
15860,14525,424
15870,14416,424
15880,14542,418
15890,14357,412
15900,14438,434
15910,14387,425
15920,14382,414
15930,14414,429
15940,14567,436
15950,14627,413
15960,14553,542
15970,14604,429
15980,14642,429
15990,14538,419
16000,14656,422
16010,14750,370
16020,14657,433
16030,14858,423
16040,18495,442
16050,14912,411
16060,14586,412
16070,14669,435
16080,14798,429
16090,14755,422
16100,18426,445
16110,15024,406
16120,14932,416
16130,14985,435
16140,14892,430
16150,14795,425
16160,19506,561
16170,15703,434
16180,18853,418
16190,15236,415
16200,15131,420
16210,15046,423
16220,14857,437
16230,15027,423
16240,15145,424
16250,14949,427
16260,14846,419
16270,14995,427
16280,14951,424
16290,15157,444
16300,15057,432
16310,15119,434
16320,15217,440
16330,15301,489
16340,15173,422
16350,15515,525
16360,15215,428
16370,15285,472
16380,15237,429
16390,15427,504
16400,15755,450
16410,15515,506
16420,15795,416
16430,15304,436
16440,15300,488
16450,19195,436
16460,16248,574
16470,16028,459
16480,19241,433
16490,15653,427
16500,15406,487
16510,15784,443
16520,15593,516
16530,15532,477
16540,15333,601
16550,15281,496
16560,15308,483
16570,15664,457
16580,15363,446
16590,15817,447
16600,15528,549
16610,15524,531
16620,15417,495
16630,15351,471
16640,15452,510
16650,15449,516
16660,15561,523
16670,15414,405
16680,15440,507
16690,15707,448
16700,15395,490
16710,15598,466
16720,15599,505
16730,15894,427
16740,15809,425
16750,15742,526
16760,19625,373
16770,15551,418
16780,15901,464
16790,15716,443
16800,15739,441
16810,15780,466
16820,15932,451
16830,15694,484
16840,15738,496
16850,15891,454
16860,15792,448
16870,15665,447
16880,15662,487
16890,15677,453
16900,15997,433
16910,15822,509
16920,16179,374
16930,16207,360
16940,16107,401
16950,15894,456
16960,15905,451
16970,15810,457
16980,16125,429
16990,16045,452
17000,15924,462
17010,15996,450
17020,15912,453
17030,15832,577
17040,19629,450
17050,16042,449
17060,15893,519
17070,15886,427
17080,15863,432
17090,16087,447
17100,15963,368
17110,15863,440
17120,16228,439
17130,16200,352
17140,15904,420
17150,15844,443
17160,15990,435
17170,15925,432
17180,16115,447
17190,16170,450
17200,16220,457
17210,16229,446
17220,16348,441
17230,16163,432
17240,16059,553
17250,16481,382
17260,17218,458
17270,16290,456
17280,16291,395
17290,16369,466
17300,16261,464
17310,16299,448
17320,16458,454
17330,16445,478
17340,16301,371
17350,16316,449
17360,16274,474
17370,17187,469
17380,16472,438
17390,16456,474
17400,16345,453
17410,16305,453
17420,16198,380
17430,17243,467
17440,16389,454
17450,16491,460
17460,16537,456
17470,16539,464
17480,16501,449
17490,16488,454
17500,16461,458
17510,16746,469
17520,16576,463
17530,16514,453
17540,16561,458
17550,16531,471
17560,16787,449
17570,16563,359
17580,16530,451
17590,16585,436
17600,16409,454
17610,16445,467
17620,18691,644
17630,16969,511
