object_counts,gpu_elapsed_time,physics_update_elapsed_time,render_elapsed_time
9800,1713.15,2682,178
9820,1784.83,2994,182
9840,1995.78,2607,169
9860,1940.48,3170,196
9880,2028.54,3219,174
9900,2145.28,2812,198
9920,1996.8,2618,210
9940,1986.56,3224,203
9960,1820.67,3024,184
9980,1806.34,3122,185
10000,1797.12,2907,186
10020,1762.3,2247,201
10040,1797.12,2664,174
10060,2532.35,3181,212
10080,1939.46,3299,203
10100,1836.03,2753,191
10120,1872.9,2824,321
10140,2038.78,2709,210
10160,1933.31,2577,201
10180,1932.29,2896,197
10200,1961.98,3298,207
10220,1924.1,3185,216
10240,1935.36,2991,221
10260,2123.78,3006,217
10280,2151.42,2874,223
10300,2347.01,2812,382
10320,2343.94,3701,226
10340,2296.83,3641,217
10360,2220.03,3464,218
10380,2017.28,3149,196
10400,1992.7,3234,190
10420,2030.59,3290,210
10440,2042.88,3237,196
10460,1952.77,2646,223
10480,2050.05,3337,183
10500,2121.73,2848,200
10520,1967.1,2879,184
10540,2052.1,3129,189
10560,1982.46,2775,197
10580,2074.62,3303,186
10600,2176,3174,198
10620,2378.75,2850,220
10640,2381.82,3379,204
10660,2302.98,3228,194
10680,2142.21,2795,190
10700,2123.78,3356,174
10720,2011.14,2973,232
10740,2181.12,3079,183
10760,2118.66,3304,200
10780,2173.95,3689,207
10800,2297.86,3276,221
10820,2285.57,3540,201
10840,2211.84,3236,193
10860,2298.88,2990,169
10880,2147.33,3459,225
10900,2091.01,3008,204
10920,2172.93,3307,193
10940,2184.19,3381,180
10960,2211.84,3492,228
10980,2185.22,3424,200
11000,2102.27,2860,211
11020,2709.5,3387,249
11040,2306.05,3188,182
11060,2280.45,3256,222
11080,2234.37,3018,196
11100,2211.84,2875,181
11120,2178.05,3177,237
11140,2206.72,2953,279
11160,2226.18,2921,216
11180,2280.45,3005,309
11200,2212.86,3102,286
11220,2194.43,2866,185
11240,2209.79,3191,332
11260,2241.54,3236,222
11280,2174.98,3398,211
11300,2212.86,3130,245
11320,2141.18,2848,208
11340,2236.42,2947,222
11360,2180.1,2881,214
11380,2276.35,3497,208
11400,2371.58,3265,243
11420,2425.86,3349,212
11440,2338.82,3272,181
11460,2321.41,2992,179
11480,2278.4,3306,211
11500,2267.14,2935,219
11520,2237.44,3191,211
11540,2300.93,3234,325
11560,2281.47,3231,318
11580,2411.52,3388,196
11600,2339.84,3332,212
11620,2323.46,3578,229
11640,2319.36,3395,212
11660,2242.56,3149,189
11680,2382.85,3194,455
11700,2420.74,3177,227
11720,2471.94,3535,306
11740,2429.95,3203,222
11760,2560,3503,187
11780,2414.59,3351,194
11800,2479.1,3512,222
11820,2516.99,3187,188
11840,2434.05,3174,215
11860,2442.24,3590,221
11880,2304,3005,267
11900,2324.48,3401,239
11920,2490.37,3547,234
11940,2495.49,3195,298
11960,2608.13,3665,203
11980,2544.64,3221,206
12000,2653.18,3588,269
12020,2542.59,3596,226
12040,2558.98,3591,197
12060,2500.61,3205,203
12080,2541.57,3612,232
12100,2366.46,3114,244
12120,2470.91,3730,213
12140,2537.47,3256,210
12160,2612.22,3622,200
12180,2747.39,3822,201
12200,2684.93,3679,207
12220,2759.68,3862,219
12240,2781.18,4070,211
12260,2915.33,3975,237
12280,2804.74,3866,223
12300,2838.53,3793,212
12320,3027.97,4336,219
12340,2931.71,3659,230
12360,2915.33,3903,199
12380,2782.21,3951,218
12400,2828.29,4070,203
12420,2790.4,4059,280
12440,2736.13,3500,240
12460,2682.88,3442,232
12480,2882.56,4003,214
12500,2766.85,3846,206
12520,2806.78,4049,204
12540,2974.72,4076,212
12560,2885.63,3812,210
12580,2772.99,3624,240
12600,2966.53,4227,222
12620,2852.86,4252,219
12640,2900.99,4244,214
12660,2918.4,4204,215
12680,2939.9,3910,209
12700,2715.65,3724,237
12720,2805.76,3935,222
12740,2926.59,4241,208
12760,2886.66,4134,211
12780,3124.22,4387,204
12800,2942.98,3705,223
12820,2865.15,4155,237
12840,2742.27,4067,232
12860,2723.84,3442,213
12880,2874.37,3737,212
12900,2930.69,5198,226
12920,2942.98,4693,208
12940,2903.04,3863,204
12960,3108.86,4015,327
12980,3194.88,4924,246
13000,2966.53,3696,275
13020,2929.66,5072,224
13040,2912.26,4512,214
13060,2850.82,4109,211
13080,2958.34,4247,224
13100,3020.8,4620,223
13120,2848.77,4033,236
13140,2898.94,5078,236
13160,2809.86,4340,218
13180,2845.7,4259,232
13200,2893.82,4220,242
13220,2821.12,4130,217
13240,3010.56,3724,223
13260,2828.29,5015,220
13280,2848.77,4102,211
13300,2832.38,4078,203
13320,2760.7,4026,225
13340,2661.38,4202,231
13360,2777.09,3570,254
13380,2840.58,4764,248
13400,2722.82,4366,229
13420,2830.34,3940,229
13440,2824.19,4312,229
13460,2763.78,4040,211
13480,2956.29,4181,240
13500,2869.25,4156,219
13520,2851.84,3916,231
13540,2827.26,4523,238
13560,2938.88,4486,245
13580,2967.55,4573,220
13600,2958.34,4556,215
13620,2993.15,4332,224
13640,2964.48,4240,228
13660,3223.55,4361,214
13680,3033.09,4593,235
13700,3047.42,3907,249
13720,2998.27,4362,247
13740,2953.22,4684,249
13760,2892.8,4714,233
13780,2946.05,4229,228
13800,2944,4418,223
13820,2944,4855,218
13840,3109.89,4262,211
13860,3145.73,5118,230
13880,2965.5,4822,243
13900,2955.26,3677,259
13920,3015.68,3760,238
13940,2957.31,4287,225
13960,2975.74,4052,216
13980,2991.1,4971,218
14000,2980.86,4329,243
14020,2953.22,3989,220
14040,3067.9,4097,218
14060,3184.64,4305,233
14080,3135.49,3901,252
14100,3150.85,4834,250
14120,3118.08,4604,219
14140,2974.72,4260,225
14160,3129.34,4403,230
14180,3110.91,4395,219
14200,3170.3,3903,220
14220,3077.12,5957,231
14240,2976.77,4058,240
14260,2962.43,3735,249
14280,2966.53,3981,252
14300,2967.55,3965,230
14320,3013.63,4093,225
14340,3055.62,5901,335
14360,3026.94,4045,252
14380,3062.78,4086,260
14400,3064.83,4073,253
14420,3224.58,4335,270
14440,3336.19,4150,244
14460,2995.2,5693,241
14480,2931.71,3837,218
14500,3064.83,4052,218
14520,3089.41,4401,240
14540,2964.48,3951,230
14560,2937.86,3688,229
14580,3080.19,5841,274
14600,3032.06,4144,258
14620,3074.05,3862,260
14640,3048.45,4071,260
14660,2958.34,3966,238
14680,3047.42,4030,219
14700,3129.34,5987,266
14720,3255.3,4245,261
14740,4831.23,5892,267
14760,3415.04,4401,251
14780,3125.25,3907,269
14800,3192.83,4275,254
14820,3345.41,4850,329
14840,3315.71,4679,231
14860,3039.23,4333,222
14880,3018.75,4234,254
14900,3092.48,4211,244
14920,3017.73,3976,222
14940,3023.87,4965,223
14960,3009.54,3929,247
14980,2900.99,3969,245
15000,3210.24,4285,259
15020,3272.7,4358,232
15040,3115.01,4386,246
15060,3268.61,4900,232
15080,3060.74,4379,226
15100,3072,4333,246
15120,3104.77,4132,250
15140,3131.39,4224,232
15160,2941.95,3776,261
15180,2988.03,4585,254
15200,2998.27,4088,228
15220,3015.68,4326,252
15240,3057.66,4047,247
15260,2957.31,3990,239
15280,3105.79,4425,225
15300,3004.42,4672,264
15320,3057.66,4341,264
15340,3017.73,4142,261
15360,3226.62,4545,269
15380,3188.74,4180,243
15400,3205.12,4176,241
15420,3229.7,4817,252
15440,2984.96,4692,233
15460,3072,4351,229
15480,2931.71,3961,267
15500,3016.7,4299,235
15520,3022.85,4396,278
15540,3148.8,4327,247
15560,3078.14,4186,257
15580,3085.31,4408,238
15600,3201.02,4502,256
15620,3066.88,4359,241
15640,3136.51,4432,249
15660,3205.12,4329,240
15680,3255.3,4241,251
15700,3275.78,4334,263
15720,3164.16,4468,270
15740,3039.23,4358,260
15760,3023.87,4331,243
15780,3109.89,4446,253
15800,3233.79,4196,260
15820,3211.26,4521,322
15840,3339.26,4632,258
15860,3273.73,4579,247
15880,3291.14,4279,260
15900,3164.16,4226,270
15920,3152.9,4181,267
15940,3117.06,4421,257
15960,3335.17,4337,306
15980,3404.8,4432,251
16000,3291.14,4584,246
16020,3176.45,4609,235
16040,3056.64,4980,270
16060,3376.13,4285,276
16080,3573.76,4977,282
16100,3562.5,4969,285
16120,3437.57,4744,282
16140,3354.62,4444,247
16160,3296.26,4948,242
16180,3533.82,5122,248
16200,3507.2,5136,263
16220,3537.92,5181,250
16240,3568.64,5220,246
16260,3543.04,4898,263
16280,3471.36,4649,283
16300,3420.16,4111,275
16320,3146.75,4445,256
16340,3129.34,4142,249
16360,3122.18,4130,257
16380,3230.72,4277,248
16400,3516.45,4146,241
16420,3490.78,4372,238
16440,3569.02,4198,273
16460,3431.74,4115,284
16480,3532.13,4445,272
16500,3569.34,4287,269
16520,3505.54,4594,261
16540,3437.73,4329,244
16560,3552.13,4537,313
16580,3468.74,4392,272
16600,3473.6,4113,243
16620,3448.54,3850,277
16640,3397.79,4108,276
16660,3440.83,4369,277
16680,3394.46,4074,254
16700,3468.48,4370,251
16720,3524.03,4444,268
16740,3779.04,4312,253
16760,3680.74,4847,255
16780,3485.38,4379,246
16800,3388.13,4339,277
16820,3412.26,4441,274
16840,3373.95,4078,281
16860,3399.97,3816,290
16880,3437.5,4155,280
16900,3573.82,4503,296
16920,3514.24,4173,283
16940,3607.55,4512,245
16960,3508.32,4450,287
16980,3589.6,4357,272
17000,3607.3,4319,288
17020,3544.96,4530,266
17040,3675.23,4580,254
17060,3628.58,4537,246
17080,3598.27,4489,245
17100,3654.27,4429,272
17120,3525.79,4158,292
17140,3558.02,4450,248
17160,3562.24,4262,272
17180,3515.78,4477,283
17200,3574.02,4233,257
17220,3628.58,4302,267
17240,3641.76,4298,259
17260,3747.14,4645,247
17280,3761.66,4673,254
17300,3732.32,4641,248
17320,3682.37,4583,254
17340,3693.18,4645,276
17360,3646.08,4340,283
17380,3821.73,4740,286
17400,3627.65,4494,268
17420,3685.44,4614,268
17440,3786.98,4711,248
17460,4050.34,4784,298
17480,3930.3,4603,269
17500,3673.44,4583,261
17520,3655.62,4590,547
17540,3680.35,4123,283
17560,3715.42,4391,278
17580,3782.14,4436,275
17600,3679.52,4390,285
17620,3697.12,4613,279
17640,3630.91,4536,265
17660,3655.71,4613,269
17680,3619.07,4279,264
17700,3835.97,4273,291
17720,3779.94,4230,273
17740,3661.82,4357,297
17760,3598.85,4500,260
17780,3621.02,4702,316
17800,4595.23,5344,318
17820,7196.29,7714,328
17840,9898.78,10627,297
17860,4535.55,5286,303
17880,5277.06,5989,289
17900,3785.6,4300,375
17920,3789.15,4340,367
17940,3932.16,4342,356
17960,3871.58,4272,355
17980,3641.89,4279,358
18000,3196.26,3861,277
18020,3155.39,3643,274
18040,3026.14,3398,262
18060,2877.98,3299,352
18080,3046.94,3497,314
18100,3646.27,4350,298
18120,3029.41,3697,260
18140,3026.75,3716,297
18160,2909.95,3406,293
18180,2891.36,3337,304
18200,3060.35,3592,295
18220,3097.66,3561,300
18240,3175.55,3898,309
18260,3136.7,3891,313
18280,3218.82,3670,311
18300,3246.05,3730,309
18320,3310.02,3763,311
18340,3262.37,3972,317
18360,3312.96,4044,318
18380,3627.01,4099,321
18400,3473.02,3931,309
18420,4249.98,4733,315
18440,3371.9,3799,301
18460,3519.62,4202,306
18480,3442.14,4145,295
18500,3399.55,3871,313
18520,3368.61,3797,317
18540,3360.67,4139,306
18560,3791.78,4508,299
18580,3316.64,4075,307
18600,3212.03,3713,310
18620,3235.81,3737,314
18640,3228.61,3708,315
18660,3341.79,4065,301
18680,4147.3,4850,300
18700,3403.84,4108,297
18720,3403.68,4152,302
18740,3413.54,4191,309
18760,3325.92,3782,301
18780,3420.45,4181,318
18800,3830.05,4553,312
18820,3403.39,4131,305
18840,3312.38,4057,305
18860,3356.22,3830,319
18880,3405.31,4119,300
18900,3313.57,4080,307
18920,3868.06,4583,301
18940,3446.37,3918,315
18960,3312.9,4044,305
18980,3353.57,4336,319
19000,3519.74,4221,317
19020,3554.78,4253,368
19040,3450.18,3911,312
19060,3440.54,4180,318
19080,3294.21,4004,311
19100,3202.08,3950,316
19120,3193.98,4235,311
19140,3378.05,4210,311
19160,3357.34,4174,323
19180,3422.56,4373,308
19200,3507.55,4187,294
19220,3455.23,4453,312
19240,3565.15,4521,314
19260,3400.1,4383,314
19280,3441.63,4159,312
19300,3451.3,4465,309
19320,3347.74,3817,323
19340,3272.96,4041,314
19360,3368.22,4361,312
19380,3447.07,4174,311
19400,3328.29,4131,323
19420,3290.69,4001,317
19440,3402.5,4329,306
19460,3301.73,4000,315
19480,3308.96,4301,308
19500,3312.03,3994,303
19520,3327.33,4259,292
19540,3317.38,4255,293
19560,3262.66,4188,289
19580,3322.56,4299,407
19600,3389.73,4324,287
19620,3319.94,3976,273
19640,3349.18,3999,276
19660,3499.65,4190,312
19680,3406.37,4111,309
19700,3314.3,4367,432
19720,3303.94,4231,279
19740,3600.83,4286,325
19760,3380.9,4079,271
19780,3386.59,4305,278
19800,3465.86,4501,300
19820,3388.45,4250,297
19840,3394.53,4099,298
19860,3678.21,4300,399
19880,4673.86,5462,306
19900,3345.57,4267,290
19920,3360.13,4094,289
19940,3422.21,4368,321
19960,3366.4,4050,300
19980,3346.53,4021,288
20000,4790.56,5685,281
20020,3369.47,4070,294
20040,3403.46,4254,304
20060,3368.77,4088,325
20080,3358.56,4320,295
20100,3405.82,4365,309
20120,3434.91,4111,289
20140,3633.31,4313,292
20160,3869.09,4823,286
20180,3825.98,4512,305
20200,3895.68,4339,325
20220,3834.3,4288,297
20240,5303.23,5780,316
